acc	country	collection_date	collection_date_month_only
MT066176	Taiwan	2020-02-05	FALSE
MT066175	Taiwan	2020-01-31	FALSE
MT049951	China: Yunnan	2020-01-17	FALSE
MT044258	USA: CA	2020-01-27	FALSE
MT044257	USA: IL	2020-01-28	FALSE
MT039888	USA: MA	2020-01-29	FALSE
MT039887	USA: WI	2020-01-31	FALSE
MT039890	South Korea	2020-01-01	TRUE
MT039873	China: Hangzhou	2020-01-20	FALSE
LC522975	Japan	2020-01-01	TRUE
LC522974	Japan	2020-01-01	TRUE
LC522973	Japan	2020-01-01	TRUE
LC522972	Japan	2020-01-01	TRUE
MT027064	USA: CA	2020-01-29	FALSE
MT027063	USA: CA	2020-01-29	FALSE
MT027062	USA: CA	2020-01-29	FALSE
LC521925	Japan	2020-01-01	TRUE
MT020881	USA: WA	2020-01-25	FALSE
MT020880	USA: WA	2020-01-25	FALSE
MT020781	Finland	2020-01-29	FALSE
MT019533	China: Hubei, Wuhan	2020-01-01	FALSE
MT019532	China: Hubei, Wuhan	2019-12-30	FALSE
MT019531	China: Hubei, Wuhan	2019-12-30	FALSE
MT019530	China: Hubei, Wuhan	2019-12-30	FALSE
MT019529	China: Hubei, Wuhan	2019-12-23	FALSE
MT007544	Australia: Victoria	2020-01-25	FALSE
MN996531	China: Wuhan	2019-12-30	FALSE
MN996530	China: Wuhan	2019-12-30	FALSE
MN996529	China: Wuhan	2019-12-30	FALSE
MN996528	China: Wuhan	2019-12-30	FALSE
MN996527	China: Wuhan	2019-12-30	FALSE
MN997409	USA: AZ	2020-01-22	FALSE
MN994468	USA: CA	2020-01-22	FALSE
MN994467	USA: CA	2020-01-23	FALSE
MN988713	USA: Illinois	2020-01-21	FALSE
MN988669	China	2020-01-02	FALSE
MN988668	China	2020-01-02	FALSE
MN985325	USA	2020-01-19	FALSE
MN975262	China	2020-01-11	FALSE
MN938384	China: Shenzhen	2020-01-10	FALSE
MN908947	China	2019-12-01	TRUE
LR757998	NA	NA	NA
LR757997	NA	NA	NA
LR757996	NA	NA	NA
LR757995	NA	NA	NA
NC_045512	China	2019-12-01	TRUE
